embedding_x,embedding_y
12.923491,-4.681292
14.048775,-1.4498502
12.9542465,-4.0295496
2.6621256,1.5394397
3.6321998,-12.212267
13.623596,-1.6853014
12.918977,-5.2736545
6.929452,15.493761
12.8782,-4.2390795
12.676479,15.0857
-11.557855,11.388397
2.7008846,1.9257569
13.310365,-6.965101
3.9435742,-11.752919
12.91412,-4.072176
13.227831,-6.839097
1.4168248,0.48736975
-7.33077,9.162935
-18.448639,1.606257
12.920763,-6.4784045
12.910361,-6.2782516
3.2346058,1.9009082
10.429048,-3.2773857
13.131381,3.4268382
12.920239,-5.2646475
-18.435076,1.5927778
12.301428,10.554586
3.3517487,-7.242839
15.6951475,4.2402716
-7.686726,-8.203115
11.499091,-7.1007757
14.987739,5.245296
-11.750403,12.947505
-12.1341,11.990328
3.4076016,0.5869454
13.58134,2.7981973
13.229107,-6.8325152
13.149165,3.5626705
12.85392,-5.935943
12.94437,9.437856
11.966975,-0.9213928
15.618554,3.5184631
10.5268345,-9.259359
2.6659083,-12.9324665
-1.0386328,15.378174
0.63156986,-8.124918
4.789714,9.963962
13.2312355,-6.836874
15.085118,5.065535
12.849837,-0.83047724
3.2177293,-7.469486
6.312665,15.113491
3.6323662,3.5428264
16.609476,-8.885148
13.269362,3.3299496
-14.2470255,6.0971093
3.5815341,3.6546693
12.493229,11.6227865
16.541954,-8.817596
3.9054341,-11.819391
-7.917227,3.505903
12.5957365,15.010078
4.440108,13.855545
-7.44611,-12.357469
-5.8523707,-7.561975
-6.8205886,16.214727
13.2266035,-6.833684
15.588965,4.629203
13.191237,-6.7917075
10.727802,-7.8082576
12.92518,-5.235638
11.56596,-7.27165
-18.424664,1.580762
-9.967649,2.8005548
-18.462694,1.6203852
4.7094693,13.613463
14.016821,-1.4495656
12.948785,-6.4813156
10.4706955,-9.748381
0.027075142,15.340618
-18.4352,1.5911613
12.796884,-3.461015
-9.970467,2.800811
25.529472,7.7361836
2.703705,-12.563941
13.652639,2.259407
4.824939,15.836142
0.54723656,-8.103665
16.554388,-8.830132
12.413603,-2.1870203
12.718803,10.158983
3.451398,0.6067663
12.5566225,-0.43543473
-1.271032,13.37081
14.807294,0.918503
-12.135455,11.988859
13.193325,-6.7923646
10.931139,-7.0177603
-7.5933957,9.568935
13.135774,-0.8944133
12.36607,-1.5439615
-10.2058115,-1.5381068
-6.846147,16.183224
14.569826,-1.3139977
16.637974,-8.913782
5.544865,15.464542
13.954778,-1.3390968
12.38531,-2.0274322
-1.6110766,13.201711
-18.423492,1.5801581
9.713873,-9.623904
-1.7036748,13.164589
2.8982534,3.4274611
-18.451399,1.6088376
6.1890273,14.330773
12.930974,-4.218365
11.970066,-0.92094004
-7.970068,-12.126538
12.874987,-6.4595623
10.482494,-9.31066
12.919379,-5.258798
14.81376,0.90155596
6.586782,14.346841
14.5585575,1.181935
12.237167,11.126941
11.826031,-7.1330943
13.776822,-1.9637362
-18.44782,1.6052135
13.501852,10.385434
12.4868,11.612899
-7.3881216,-12.389348
10.887324,-3.0793407
10.620416,9.999881
11.654608,10.44703
12.036081,11.615114
0.87650937,-8.0767145
13.259816,-3.1585875
-1.674997,13.147354
-14.233108,6.094478
13.613697,2.755184
-2.179886,12.935428
0.66903555,-8.115135
16.378376,-4.9737506
13.809069,-1.9863733
12.713626,15.120193
12.287126,-1.4871284
14.280224,-1.3876522
13.267919,-3.0969996
12.09685,11.487374
13.06422,3.6396344
13.097314,3.6189253
11.542165,12.089253
-5.596722,11.581502
-11.562569,11.409031
15.676744,3.2552567
2.990725,-12.715498
25.543985,7.721709
16.430172,-5.012552
-2.7031233,14.017365
-1.5744705,13.210182
-2.1323485,12.837522
12.872227,9.096056
13.25669,-3.1682622
13.608141,2.7742944
16.550556,-8.826433
2.6067815,-13.022908
5.6827493,15.337071
1.4211787,0.48594362
-8.787514,2.4694617
14.965083,-0.31290057
12.951552,-6.3547616
3.6996958,3.7218273
12.060895,-6.9600663
15.687316,4.224756
15.674849,3.2417665
14.580126,-1.2063417
16.467236,-5.047222
3.9262652,4.8276596
-12.147748,12.007466
12.601893,15.014311
12.917203,-4.265663
4.5403266,15.403378
12.921943,-5.276924
10.926196,-2.867856
14.353828,-1.4938589
3.3099859,-7.0963616
3.2506819,5.41212
12.708537,10.271132
13.22055,-6.823708
-7.3242154,9.1249895
13.91859,-1.3494002
11.8445835,-7.087316
5.436512,14.687984
-18.423588,1.5803354
12.995494,-6.398771
3.3356974,5.278632
2.7116096,-12.932044
-7.961273,-12.13372
-18.423779,1.5803708
2.6004176,-13.018831
12.8075,9.153448
-18.448019,1.6053786
1.3394145,-7.960899
10.120661,-9.473048
-5.2742105,0.9203243
14.819045,0.8979383
-7.97875,-12.122775
15.015379,0.0071923053
4.4810076,15.272995
-7.5692887,9.542981
12.441906,-2.1211739
12.763373,-3.1977222
5.3774076,15.507747
2.8189209,1.384647
3.8265152,0.46178523
-10.212728,-1.5452033
11.524838,10.619225
12.952781,-3.8739295
-7.12325,8.482114
3.351124,5.290202
12.901528,10.384907
12.870788,-6.3381987
16.498531,-5.0801487
3.6797428,0.55913174
10.780952,10.853933
-4.736852,-7.4374313
-3.3421261,-3.1451364
11.380169,2.3022778
-11.206457,17.57335
16.574465,-5.1546946
10.904035,-7.02186
-11.206523,17.57336
-16.411354,-2.2432187
-7.3864202,-12.3899355
-7.9897594,-12.11764
13.147062,-6.857577
13.07926,3.4526844
3.002109,3.478252
13.612577,2.3530202
13.23758,-2.9815454
15.700933,4.183211
15.716459,3.93272
5.6816125,14.785388
13.301328,-6.959725
13.286488,-6.942579
15.708722,2.663977
-12.138876,11.994672
15.612049,4.5539722
11.555196,-7.086319
11.375572,-2.6077344
11.041049,-7.6377926
5.4512825,14.895832
11.381156,2.2994013
13.715769,-1.6213424
13.622903,-1.7253851
-7.329764,9.130973
12.473785,11.618056
11.396563,-7.0959687
4.1766357,-12.080527
-9.965108,2.8011491
13.29636,-6.954391
10.946915,11.8151045
14.599558,1.1394037
-4.302095,14.370975
13.137486,-0.89062726
-2.6731687,14.022513
12.847539,-1.6461478
14.995703,5.170502
12.867565,-6.4567337
11.172747,11.644525
10.583181,-9.241832
12.713954,9.256731
10.86481,-2.8778856
13.217096,-6.804166
12.017292,-7.0081706
13.195099,3.4837995
10.43043,-3.2638984
10.188333,-9.427915
15.658814,2.6101053
11.965346,-7.0548897
16.461193,-8.738748
11.467393,-7.1023207
11.475944,-7.4302707
12.922098,-4.689503
12.776778,9.148141
11.612025,-7.090627
10.402574,-9.787268
10.460012,-9.7808
-6.542906,11.559007
12.843605,-6.438525
13.467772,15.9043255
3.5086534,5.7726235
12.505751,-2.223961
12.906393,9.029606
11.875034,-7.081639
12.020993,11.519481
3.2415202,0.6836733
11.221414,11.520985
15.58813,4.650435
13.110606,3.5557003
-7.923804,3.5025995
14.6119585,1.1241965
11.0363455,-7.8369613
10.489438,-10.960006
10.391532,-3.2356071
1.1996819,-7.996898
10.468968,-9.74534
15.649183,2.6159902
-3.0030043,-3.6590755
12.715097,-2.6187353
11.882878,-1.942685
12.877639,-5.5364594
11.877039,-7.088981
15.652688,4.4231935
15.560803,4.2368655
-3.2760196,-3.5231743
6.6108193,14.454899
11.541285,-7.183578
5.403168,16.076668
10.884252,-3.0816224
13.603175,-1.7217928
3.2714155,5.4490395
11.086662,-7.66142
10.488881,-10.961266
11.9404955,-7.051951
-5.453798,8.140486
13.474819,10.490303
12.171441,10.783361
